acct,bld_num,date_erected,im_sq_ft,land_ar,perimeter,bedrooms,full_bath,half_bath,total_rooms,dscr_e,frame_detached_garage,gunite_pool,pool_heater,solar_panel,brick_garage,canopy_residential,frame_abov,frame_shed,carport_residential,foundation_repaired,cracked_slab,latitude,longitude,distance_miles,land_val,bld_val,assessed_val,assessed_per_sqft
31800000019,1,1910,740,2895.0,124,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.776878583737787,-95.3552319410613,1.4625883014301149,154680.0,32576.0,187256.0,253.04864864864865
32090000014,1,1940,1672,4500.0,176,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.0,1657.0,0.0,0.0,29.77955594329317,-95.35777737138282,1.5340540938292027,175500.0,244500.0,420000.0,251.19617224880383
32200000030,2,1925,1587,5000.0,234,5.0,3.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.77931546717719,-95.36159303787652,1.4223347832404774,185250.0,40551.0,225801.0,142.28166351606805
32250000013,1,1940,1526,4200.0,168,2.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78114680675573,-95.35764849412216,1.634749848067296,173628.0,206372.0,380000.0,249.0170380078637
32380000016,1,1936,2016,5000.0,272,4.0,1.0,0.0,8.0,2.0,4654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.780770621934675,-95.3651153038346,1.459171782323377,185250.0,50773.0,240677.0,119.38343253968254
40290000010,2,1984,884,5000.0,128,3.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.792744956736424,-95.32286553969128,3.6210423910998184,51255.0,79168.0,130423.0,147.53733031674207
40390000012,1,1996,1030,5000.0,136,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.79078113759565,-95.32447371987462,3.4614004003371037,60000.0,109507.0,169507.0,164.56990291262136
41150000010,1,1930,1032,5000.0,134,3.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.777149965917943,-95.3246575838665,2.969170365030954,100000.0,59412.0,159412.0,154.46899224806202
41370000012,1,1973,1855,1250.0,354,2.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.746285177928847,-95.38194218180595,1.1898418475724422,112500.0,224268.0,336768.0,181.54609164420486
41740007014,1,1955,1732,16888.0,224,3.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.92357334755666,-95.3716434108647,11.29542166929338,67552.0,169073.0,236625.0,136.61951501154735
42060160014,1,2008,1768,9375.0,216,3.0,2.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.60206201908725,-95.41917404685869,11.309875754337922,37500.0,307047.0,344547.0,194.87952488687782
